gnz-id,name,club,level,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,pd-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,v-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-total,aa-rank,date-created
597613,Shion Tavendale,Kapiti,2,None,Hutt Valley Competition 2022,AA,1,9.75,2,7  ,9.35,2,11  ,10.45,2,5  ,10.3,2,7  ,10.5,2,7  ,9.5,2,7  ,59.85,8  ,3/20/2022
548347,Christian Bonandji Devane Dju,Kapiti,2,None,Hutt Valley Competition 2022,AA,1,8.65,1,10  ,10.4,2,7  ,10,2,6E  ,9.85,2,10E  ,10.6,2,6  ,9.05,2,9  ,58.55,9  ,3/20/2022
649513,Daniel Armstrong,Kapiti,2,None,Hutt Valley Competition 2022,AA,1,10.25,2,5  ,9.5,2,10  ,9.05,2,11  ,11,2,5  ,10.35,2,8  ,7,1,11  ,57.15,10E  ,3/20/2022
575779,Edward (Teddy) Brian,Kapiti,2,None,Hutt Valley Competition 2022,AA,1,8.6,2,11  ,9.7,2,9  ,9.75,2,8  ,10.25,2,8E  ,10,2,9E  ,8.85,2,10  ,57.15,10E  ,3/20/2022
527515,Matteo Kelly,Hutt Valley,3,None,Hutt Valley Competition 2022,AA,1,10.45,2,3  ,11.05,2,2  ,10.7,2,4  ,11.35,2,4E  ,10.6,2,2  ,11.15,2,1  ,65.3,1  ,3/20/2022
586888,Kieran Brighton,Kapiti,3,None,Hutt Valley Competition 2022,AA,1,10.8,2.3,1  ,9.75,2,7  ,10.9,2,2  ,11.3,2,6E  ,10.65,2,1  ,11.1,2,2  ,64.5,2  ,3/20/2022
220989,Marcus Clark,Capital,3,None,Hutt Valley Competition 2022,AA,1,9.5,2,6  ,9.85,2,6  ,10.8,2,3  ,11.65,2,2  ,10.3,2,3  ,9.85,2,4  ,61.95,3E  ,3/20/2022
296471,Caid Holmes,Hutt Valley,3,None,Hutt Valley Competition 2022,AA,1,9.75,2,4  ,8.75,2,8  ,11.1,2,1  ,11.8,2,1  ,10.15,2,5  ,10.4,2,3  ,61.95,3E  ,3/20/2022
262771,Taine Elgar,Hutt Valley,3,None,Hutt Valley Competition 2022,AA,1,10.75,2,2  ,9.95,2,4E  ,10.1,2,7  ,11.4,2,3  ,10.2,2,4  ,9.1,2,6  ,61.5,5  ,3/20/2022
290246,Maxim Kniazev,Hutt Valley,3,None,Hutt Valley Competition 2022,AA,1,9.6,2,5  ,9.95,2,4E  ,10.35,2,5  ,11.3,2,6E  ,9.65,2,7  ,9.4,2,5  ,60.25,6  ,3/20/2022
510174,Joshua Ngan-Boyle,Hutt Valley,3,None,Hutt Valley Competition 2022,AA,1,9,2,7  ,11.55,2,1  ,9.95,2,8  ,11.35,2,4E  ,9.05,2,8  ,8.4,2,8  ,59.3,7  ,3/20/2022
645806,Dominic Brighton,Kapiti,3,None,Hutt Valley Competition 2022,AA,1,8.5,2,8  ,10.75,2,3  ,10.25,2,6  ,10.9,2,8  ,9.8,2,6  ,8.7,1,7  ,58.9,8  ,3/20/2022
