gnz-id,name,club,level,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,pd-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,v-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-total,aa-rank,date-created
578793,Max Pratt,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,9.350,2.0,8,,,,10.200,2.0,8,11.300,2.0,4,10.300,2.0,7=,9.100,2.0,12,50.250,11,20 March 2022
578631,Matthew Yang,Omni Gymnastic Centre,1,NONE,HBPB Junior Competition,AA,1,8.550,1.0,11,,,,10.100,2.0,9=,10.750,2.0,12=,10.350,2.0,6,9.700,2.0,10,49.450,12,20 March 2022
302398,Jackson Dunlop,Manawatu Gymsports,1,NONE,HBPB Junior Competition,AA,1,7.450,2.0,13,,,,9.000,2.0,14,10.200,2.0,14,9.150,2.0,13,8.600,2.0,14,44.400,13,20 March 2022
662280,Ryder Arnold,Omni Gymnastic Centre,1,NONE,HBPB Junior Competition,AA,1,,,,,,,10.350,2.0,7,11.250,2.0,5=,,,,10.000,2.0,5=,31.600,14,20 March 2022
524492,Llewellyn Oatway,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,10.450,2.0,1,10.700,2.0,1,10.200,2.0,3,10.750,2.0,2,10.800,2.0,5,10.250,2.0,3,63.150,1,20 March 2022
597696,Adan Ware,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,10.400,2.0,2,8.850,2.0,10,9.700,2.0,8,9.300,2.0,17,11.200,2.0,2,10.600,2.0,2,60.050,2,20 March 2022
524491,Dylan Oatway,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,9.100,2.0,14,10.250,2.0,2,10.450,2.0,1,11.000,2.0,1,10.400,2.0,7,8.800,2.0,8=,60.000,3,20 March 2022
557264,Leroy Hutton,Hastings Gymnastics,2,NONE,HBPB Junior Competition,AA,1,9.900,2.0,5,9.350,2.0,7,10.050,2.0,4=,10.100,2.0,7,9.500,2.0,13,10.700,2.0,1,59.600,4,20 March 2022
543488,Colby Kennerley,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,9.500,2.0,10=,9.500,2.0,4=,10.300,2.0,2,9.350,2.0,15=,10.250,2.0,8=,9.400,2.0,5,58.300,5,20 March 2022
576007,Amias Vis,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,9.150,2.0,13,9.150,2.0,8,10.050,2.0,4=,9.750,2.0,12=,10.850,2.0,4,9.150,2.0,7,58.100,6,20 March 2022
645752,Graham Daniels,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,8.850,2.0,15,9.500,2.0,4=,10.000,2.0,6,10.650,2.0,4,10.250,2.0,8=,8.800,2.0,8=,58.050,7,20 March 2022
572252,Sam Dunn,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,9.500,2.0,10=,10.100,2.0,3,9.200,1.0,10,10.250,2.0,6,10.950,2.0,3,7.700,2.0,12=,57.700,8,20 March 2022
557878,Austin Garside,Hastings Gymnastics,2,NONE,HBPB Junior Competition,AA,1,10.350,2.0,3,9.100,2.0,9,9.000,2.0,15=,10.700,2.0,3,8.800,2.0,18,9.700,2.0,4,57.650,9,20 March 2022
578272,Jimmy Wier,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,9.750,2.0,7,8.700,2.0,12,9.750,2.0,7,9.350,2.0,15=,10.550,2.0,6,7.800,2.0,11,55.900,10,20 March 2022
583707,Tyler Hall,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,9.700,2.0,8=,8.750,2.0,11,9.150,2.0,11,10.400,2.0,5,10.100,2.0,10,7.100,1.0,15,55.200,11,20 March 2022
589396,Robert Jensen,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,10.100,2.0,4,7.700,2.0,13=,8.650,2.0,17,9.400,2.0,14,11.300,2.0,1,7.150,1.0,14,54.300,12,20 March 2022
563358,Max Symonds,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,9.700,2.0,8=,6.650,2.0,19,9.400,2.0,9,10.000,2.0,8,9.100,2.0,15,9.200,2.0,6,54.050,13,20 March 2022
627019,Olly Anderson,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,9.250,2.0,12,7.700,2.0,13=,9.050,2.0,12=,9.750,2.0,12=,9.750,2.0,12,8.400,2.0,10,53.900,14,20 March 2022
601471,Daniel McPhee,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,7.500,2.0,19,9.400,2.0,6,9.000,2.0,15=,9.850,2.0,10=,9.400,2.0,14,6.000,1.0,16,51.150,15,20 March 2022
538015,Owen Ranston,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,7.750,2.0,18,7.350,2.0,15=,9.050,2.0,12=,9.850,2.0,10=,8.900,2.0,17,7.700,2.0,12=,50.600,16,20 March 2022
635127,Wian Groenewald,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,9.850,2.0,6,7.250,2.0,17,9.050,2.0,12=,8.450,0.0,19,9.850,2.0,11,4.850,1.0,19,49.300,17,20 March 2022
243386,Toby Carpenter,Manawatu Gymsports,2,NONE,HBPB Junior Competition,AA,1,8.350,1.0,17,7.100,2.0,18,8.350,2.0,18,9.900,2.0,9,9.000,2.0,16,5.700,1.0,17,48.400,18,20 March 2022
562024,Albie Hall,Omni Gymnastic Centre,2,NONE,HBPB Junior Competition,AA,1,8.600,2.0,16,7.350,2.0,15=,6.750,2.0,19,9.050,2.0,18,8.600,1.0,19,5.650,1.0,18,46.000,19,20 March 2022
271829,Jaymen Yang,Omni Gymnastic Centre,3,NONE,HBPB Junior Competition,AA,1,9.400,2.0,4,6.850,2.0,5,9.650,2.0,2,10.900,2.0,1,10.200,2.0,1,9.850,2.0,1,56.850,1,20 March 2022
647913,Lochlann Beech,Manawatu Gymsports,3,NONE,HBPB Junior Competition,AA,1,10.550,2.0,1,8.550,2.0,1,9.450,2.3,3,10.750,2.0,2,8.800,2.0,5,8.150,2.0,5,56.250,2,20 March 2022
572645,Quade Beauchamp,Manawatu Gymsports,3,NONE,HBPB Junior Competition,AA,1,10.050,2.0,2,7.550,2.0,2,9.000,2.0,5=,9.400,2.0,6,10.000,2.0,2,8.950,2.0,3,54.950,3,20 March 2022
623558,Reuben Ryan,Manawatu Gymsports,3,NONE,HBPB Junior Competition,AA,1,9.000,1.0,6,7.200,2.0,4,9.950,2.0,1,10.000,2.0,4,8.700,1.0,6,7.250,2.0,6,52.100,4,20 March 2022
563728,Jacob Hurley,Omni Gymnastic Centre,3,NONE,HBPB Junior Competition,AA,1,9.350,2.0,5,7.400,2.0,3,8.300,2.0,7,9.350,2.0,7,9.050,1.0,4,8.600,2.0,4,52.050,5,20 March 2022
552419,Troy Beck,Omni Gymnastic Centre,3,NONE,HBPB Junior Competition,AA,1,9.650,2.0,3,3.750,2.0,7,9.100,2.0,4,9.900,2.0,5,9.300,2.0,3,9.400,1.0,2,51.100,6,20 March 2022
271831,Andy Yang,Omni Gymnastic Centre,3,NONE,HBPB Junior Competition,AA,1,8.550,2.0,7,5.650,2.0,6,9.000,2.0,5=,10.300,2.0,3,8.400,1.0,7,5.450,1.0,7,47.350,7,20 March 2022
302525,Tom Mayer,Omni Gymnastic Centre,4,NONE,HBPB Junior Competition,AA,1,10.900,2.3,1,9.050,1.0,4,8.900,2.0,4,11.300,2.0,1,10.900,2.3,1,10.150,2.0,1,61.200,1,20 March 2022
279721,Alexander de Vries,Manawatu Gymsports,4,NONE,HBPB Junior Competition,AA,1,7.450,1.0,6,9.900,1.0,2,8.300,1.0,5,10.350,2.0,4,10.400,2.3,2,10.050,2.0,2,56.450,2,20 March 2022
608271,Dylan Ware,Manawatu Gymsports,4,NONE,HBPB Junior Competition,AA,1,9.450,2.0,2,10.500,2.0,1,9.700,2.0,1,7.800,2.0,7,10.100,2.0,3,7.350,2.0,7,54.900,3,20 March 2022
685399,Dexter Paranihi,Manawatu Gymsports,4,NONE,HBPB Junior Competition,AA,1,8.050,1.0,5,9.200,2.0,3,6.900,1.0,6,10.400,2.0,3,8.150,2.0,5,8.200,2.0,4,50.900,4,20 March 2022
534564,Maxwell Hansen,Manawatu Gymsports,4,NONE,HBPB Junior Competition,AA,1,9.250,2.0,3,6.600,2.0,5,9.100,2.0,3,8.800,2.0,6,7.200,2.0,6,8.650,2.0,3,49.600,5,20 March 2022
246831,Monty Christodoulou,Omni Gymnastic Centre,4,NONE,HBPB Junior Competition,AA,1,6.500,2.0,7,5.400,2.0,6,9.300,2.3,2,9.900,2.0,5,8.850,2.0,4,7.600,2.0,5,47.550,6,20 March 2022
554756,Luka Donaldson,Omni Gymnastic Centre,4,NONE,HBPB Junior Competition,AA,1,8.100,1.0,4,3.100,2.0,7,5.900,1.0,7,11.100,2.0,2,7.150,2.0,7,7.450,1.0,6,42.800,7,20 March 2022
281456,Grayson Sullivan-Jones,Manawatu Gymsports,5,NONE,HBPB Junior Competition,AA,1,10.200,2.3,1,10.500,2.3,1,10.350,2.0,1,10.700,2.0,2,9.950,2.3,2,9.200,2.0,1,60.900,1,20 March 2022
550170,Armant Beukes,Manawatu Gymsports,5,NONE,HBPB Junior Competition,AA,1,7.700,1.0,2,9.000,2.0,2,7.750,1.3,3,11.000,2.0,1,9.850,2.6,3,7.750,2.0,2,53.050,2,20 March 2022
578692,Eduart Beukes,Manawatu Gymsports,5,NONE,HBPB Junior Competition,AA,1,6.050,2.0,3,6.600,1.0,3,10.000,2.0,2,9.450,2.0,3,10.000,2.6,1,6.650,2.0,3,48.750,3,20 March 2022
